SKU,SKU Created At,Month Created,Week Start,Qty Sold,Month of Sales,Days Since First Pick,Size,Gender,SKU Type,Date First Picked
90507760,2021-11-18,11,2023-07-10,1,7,585,6M,Kids,Onesie,12/2/2021
90507761,2021-11-18,11,2023-07-10,1,7,598,12M,Kids,Onesie,11/19/2021
90506665,2021-09-22,9,2023-09-11,1,9,550,M,Men,Sweatpant,3/10/2022
90517846,2021-12-28,12,2023-09-11,1,9,547,XL,Men,Sweatshirt,3/13/2022
90517919,2021-12-28,12,2023-09-11,1,9,548,M,Women,Sweatshirt,3/12/2022
90556922,2023-02-03,2,2023-09-25,9,9,231,4,Women,Sweatshirt,2/6/2023
90556923,2023-02-03,2,2023-09-25,19,9,231,6,Women,Sweatshirt,2/6/2023
90556924,2023-02-03,2,2023-09-25,11,9,231,8,Women,Sweatshirt,2/6/2023
90556925,2023-02-03,2,2023-09-25,5,9,231,10,Women,Sweatshirt,2/6/2023
90556926,2023-02-03,2,2023-09-25,2,9,231,12,Women,Sweatshirt,2/6/2023
90556931,2023-02-03,2,2023-09-25,22,9,231,S,Men,Hoodie,2/6/2023
90556932,2023-02-03,2,2023-09-25,63,9,231,M,Men,Hoodie,2/6/2023
90556933,2023-02-03,2,2023-09-25,55,9,231,L,Men,Hoodie,2/6/2023
90556934,2023-02-03,2,2023-09-25,18,9,231,XL,Men,Hoodie,2/6/2023
90556935,2023-02-03,2,2023-09-25,5,9,231,2XL,Men,Hoodie,2/6/2023
90556937,2023-02-03,2,2023-09-25,1,9,231,3XL,Men,Hoodie,2/6/2023
90556938,2023-02-03,2,2023-09-25,1,9,231,4XL,Men,Hoodie,2/6/2023
90556922,2023-02-03,2,2023-10-02,2,10,238,4,Women,Sweatshirt,2/6/2023
90556923,2023-02-03,2,2023-10-02,16,10,238,6,Women,Sweatshirt,2/6/2023
90556924,2023-02-03,2,2023-10-02,13,10,238,8,Women,Sweatshirt,2/6/2023
90556925,2023-02-03,2,2023-10-02,3,10,238,10,Women,Sweatshirt,2/6/2023
90556926,2023-02-03,2,2023-10-02,6,10,238,12,Women,Sweatshirt,2/6/2023
90556927,2023-02-03,2,2023-10-02,2,10,238,14,Women,Sweatshirt,2/6/2023
90556929,2023-02-03,2,2023-10-02,1,10,237,18,Women,Sweatshirt,2/7/2023
90556931,2023-02-03,2,2023-10-02,13,10,238,S,Men,Hoodie,2/6/2023
90556932,2023-02-03,2,2023-10-02,28,10,238,M,Men,Hoodie,2/6/2023
90556933,2023-02-03,2,2023-10-02,29,10,238,L,Men,Hoodie,2/6/2023
90556934,2023-02-03,2,2023-10-02,17,10,238,XL,Men,Hoodie,2/6/2023
90556935,2023-02-03,2,2023-10-02,5,10,238,2XL,Men,Hoodie,2/6/2023
90556937,2023-02-03,2,2023-10-02,1,10,238,3XL,Men,Hoodie,2/6/2023
90556922,2023-02-03,2,2023-10-09,61,10,245,4,Women,Sweatshirt,2/6/2023
90556923,2023-02-03,2,2023-10-09,243,10,245,6,Women,Sweatshirt,2/6/2023
90556924,2023-02-03,2,2023-10-09,99,10,245,8,Women,Sweatshirt,2/6/2023
90556925,2023-02-03,2,2023-10-09,73,10,245,10,Women,Sweatshirt,2/6/2023
90556926,2023-02-03,2,2023-10-09,10,10,245,12,Women,Sweatshirt,2/6/2023
90556927,2023-02-03,2,2023-10-09,7,10,245,14,Women,Sweatshirt,2/6/2023
90556929,2023-02-03,2,2023-10-09,9,10,244,18,Women,Sweatshirt,2/7/2023
90556931,2023-02-03,2,2023-10-09,18,10,245,S,Men,Hoodie,2/6/2023
90556932,2023-02-03,2,2023-10-09,62,10,245,M,Men,Hoodie,2/6/2023
90556933,2023-02-03,2,2023-10-09,71,10,245,L,Men,Hoodie,2/6/2023
90556934,2023-02-03,2,2023-10-09,83,10,245,XL,Men,Hoodie,2/6/2023
90556935,2023-02-03,2,2023-10-09,15,10,245,2XL,Men,Hoodie,2/6/2023
90556937,2023-02-03,2,2023-10-09,2,10,245,3XL,Men,Hoodie,2/6/2023
90556938,2023-02-03,2,2023-10-09,1,10,245,4XL,Men,Hoodie,2/6/2023
90490001,2022-08-12,8,2023-12-04,53,12,451,OS,Uni,Tumbler,9/9/2022
90508100,2021-12-06,12,2023-12-04,1606,12,668,OS,Uni,tumbler,2/4/2022
207632571,2021-07-26,7,2023-12-11,1,12,650,OS,Uni,Office Supplies,3/1/2022
5711747497705,2022-01-10,1,2023-12-11,1,12,692,OS,Uni,Backpack,1/18/2022
90266939,2021-06-22,6,2023-12-11,290,12,586,OS,Uni,Tumbler,5/4/2022
90314318,2021-06-22,6,2023-12-11,50,12,-5,OS,Uni,Tech,12/15/2023
90352485,2021-07-29,7,2023-12-11,1370,12,586,OS,Uni,Tumbler,5/4/2022
90356966,2021-07-29,7,2023-12-11,705,12,728,OS,Uni,Office Supplies,12/13/2021
90421096,2021-03-08,3,2023-12-11,1,12,349,M,Men,Jacket,12/27/2022
90425197,2021-03-08,3,2023-12-11,1,12,319,M,Men,Hoodie,1/26/2023
90425276,2021-03-08,3,2023-12-11,1,12,458,OS,Uni,Beanie,9/9/2022
90425871,2021-03-08,3,2023-12-11,1,12,406,M,Women,Jacket,10/31/2022
90465272,2020-10-29,10,2023-12-11,1,12,1131,OS,Uni,Accessory,11/5/2020
90469403,2020-11-19,11,2023-12-11,1,12,1113,OS,Uni,Accessory,11/23/2020
90474345,2021-01-17,1,2023-12-11,1,12,1056,OS,Uni,Accessory,1/19/2021
90474349,2021-01-17,1,2023-12-11,1,12,1056,L,Men,Sweatshirt,1/19/2021
90474365,2021-01-17,1,2023-12-11,1,12,1056,OS,Uni,Tumbler,1/19/2021
90474372,2021-01-17,1,2023-12-11,1,12,1056,OS,Uni,Other,1/19/2021
90474421,2021-01-17,1,2023-12-11,1,12,1056,OS,Uni,Other,1/19/2021
90474454,2021-01-17,1,2023-12-11,1,12,1056,M,Men,Sweatpant,1/19/2021
90474796,2021-01-12,1,2023-12-11,1,12,1063,XS,Men,Coat,1/12/2021
90491620,2021-06-22,6,2023-12-11,26,12,753,OS,Uni,Tech,11/18/2021
90492132,2021-10-25,10,2023-12-11,28,12,753,OS,Uni,Tumbler,11/18/2021
90492295,2021-11-19,11,2023-12-11,1,12,748,L,Men,SS Shirt,11/23/2021
90492322,2021-11-19,11,2023-12-11,1,12,748,M,Men,SS Shirt,11/23/2021
90506663,2021-09-22,9,2023-12-11,15,12,640,XS,Men,Sweatpant,3/11/2022
90506664,2021-09-22,9,2023-12-11,8,12,641,S,Men,Sweatpant,3/10/2022
90506665,2021-09-22,9,2023-12-11,189,12,641,M,Men,Sweatpant,3/10/2022
90506666,2021-09-22,9,2023-12-11,202,12,641,L,Men,Sweatpant,3/10/2022
90506667,2021-09-22,9,2023-12-11,137,12,640,XL,Men,Sweatpant,3/11/2022
90506668,2021-09-22,9,2023-12-11,21,12,638,2XL,Men,Sweatpant,3/13/2022
90506669,2021-09-22,9,2023-12-11,6,12,637,3XL,Men,Sweatpant,3/14/2022
90506670,2021-09-22,9,2023-12-11,21,12,637,XS,Women,Legging,3/14/2022
90506671,2021-09-22,9,2023-12-11,56,12,641,S,Women,Legging,3/10/2022
90506672,2021-09-22,9,2023-12-11,71,12,641,M,Women,Legging,3/10/2022
90506673,2021-09-22,9,2023-12-11,65,12,640,L,Women,Legging,3/11/2022
90506674,2021-09-22,9,2023-12-11,11,12,637,XL,Women,Legging,3/14/2022
90506675,2021-09-22,9,2023-12-11,18,12,641,2XL,Women,Legging,3/10/2022
90506676,2021-09-22,9,2023-12-11,13,12,637,3XL,Women,Legging,3/14/2022
90511395,2022-01-13,1,2023-12-11,1,12,691,M,Men,Hoodie,1/19/2022
90517585,2022-01-18,1,2023-12-11,1,12,690,S,Men,Hoodie,1/20/2022
90518805,2022-02-02,2,2023-12-11,1,12,668,OS,Uni,Beanie,2/11/2022
90519185,2022-01-18,1,2023-12-11,1,12,690,S,Men,LS Shirt,1/20/2022
90528758,2022-06-01,6,2023-12-11,1,12,558,L,Men,Hoodie,6/1/2022
90528772,2022-06-01,6,2023-12-11,1,12,558,L,Men,Sweatpant,6/1/2022
90554481,2023-03-15,3,2023-12-11,1,12,-4,6M,Kids,Onesie,12/14/2023
90556923,2023-02-03,2,2023-12-11,1,12,308,6,Women,Sweatshirt,2/6/2023
90556932,2023-02-03,2,2023-12-11,1,12,308,M,Men,Hoodie,2/6/2023
207632571,2021-07-26,7,2023-12-18,78,12,657,OS,Uni,Office Supplies,3/1/2022
80285515,2022-02-11,2,2023-12-18,23,12,-2,OS,Uni,Card,12/19/2023
90465272,2020-10-29,10,2023-12-18,15,12,1138,OS,Uni,Accessory,11/5/2020
90469403,2020-11-19,11,2023-12-18,75,12,1120,OS,Uni,Accessory,11/23/2020
