uniqueSKU,customerId,itemSkuNumber
1_1000_TEST,1,_1000_TEST
1_50_TEST,1,_50_TEST
1_500_TEST,1,_500_TEST
10000001,1,0000001
10001JP,1,0001JP
10001JP-1,1,0001JP-1
10001JP-2,1,0001JP-2
10001JP121,1,0001JP121
10001SP,1,0001SP
10001US,1,0001US
10002SP,1,0002SP
10002US,1,0002US
10003SP,1,0003SP
10003US,1,0003US
10004SP,1,0004SP
10004US,1,0004US
1001B,1,001B
10089,1,0089
1009988,1,009988
1010101,1,010101
10987654321,1,0987654321
110000,1,10000
1100000,1,100000
110000000001,1,10000000001
110000000002,1,10000000002
110000000003,1,10000000003
11000000001,1,1000000001
110000000011,1,10000000011
110000000011US-1,1,10000000011US-1
11000000001JP-1,1,1000000001JP-1
11000000002,1,1000000002
11000000003,1,1000000003
110000000031,1,10000000031
11000000004,1,1000000004
11000000005,1,1000000005
11000000006,1,1000000006
11000000007,1,1000000007
11000000008,1,1000000008
11000000009,1,1000000009
11000000010,1,1000000010
11000002,1,1000002
11000003,1,1000003
1100001,1,100001
11000012,1,1000012
11000013,1,1000013
1100002,1,100002
11000022,1,1000022
11000023,1,1000023
1100003,1,100003
11000032,1,1000032
11000033,1,1000033
1100004,1,100004
11000042,1,1000042
11000043,1,1000043
1100005,1,100005
11000052,1,1000052
11000053,1,1000053
1100006,1,100006
11000062,1,1000062
11000063,1,1000063
1100007,1,100007
11000072,1,1000072
11000073,1,1000073
1100007D,1,100007D
1100008,1,100008
11000082,1,1000082
11000083,1,1000083
1100008D,1,100008D
1100009,1,100009
11000092,1,1000092
11000093,1,1000093
1100009D,1,100009D
110001,1,10001
1100010,1,100010
11000102,1,1000102
11000103,1,1000103
1100011,1,100011
11000111000,1,1000111000
11000112,1,1000112
11000113,1,1000113
1100012,1,100012
11000122,1,1000122
11000123,1,1000123
1100013,1,100013
11000132,1,1000132
11000133,1,1000133
1100014,1,100014
11000142,1,1000142
11000143,1,1000143
1100014D,1,100014D
1100015,1,100015
11000152,1,1000152
11000153,1,1000153
1100015D,1,100015D
1100016,1,100016
11000162,1,1000162
11000163,1,1000163
1100016D,1,100016D
1100017,1,100017
11000172,1,1000172
11000173,1,1000173
1100018,1,100018
1100019,1,100019
110002,1,10002
1100020,1,100020
11000266,1,1000266
110003,1,10003
110004,1,10004
110005,1,10005
110006,1,10006
110007,1,10007
110008,1,10008
110009,1,10009
11000INT,1,1000INT
11000PE,1,1000PE
11000US,1,1000US
11000VE,1,1000VE
110010,1,10010
1100100,1,100100
11001002,1,1001002
11001003,1,1001003
1100101,1,100101
11001012,1,1001012
11001013,1,1001013
1100101D,1,100101D
1100102,1,100102
11001022,1,1001022
11001023,1,1001023
1100102D,1,100102D
1100103,1,100103
11001032,1,1001032
11001033,1,1001033
1100103D,1,100103D
1100104,1,100104
11001042,1,1001042
11001043,1,1001043
1100105,1,100105
11001052,1,1001052
11001053,1,1001053
1100106,1,100106
11001062,1,1001062
11001063,1,1001063
1100107,1,100107
11001072,1,1001072
11001073,1,1001073
1100108,1,100108
11001082,1,1001082
11001083,1,1001083
1100108D,1,100108D
1100109,1,100109
11001092,1,1001092
11001093,1,1001093
110011,1,10011
1100110,1,100110
1100111,1,100111
110014,1,10014
110015,1,10015
110016,1,10016
110017,1,10017
110018,1,10018
110019,1,10019
11001JP,1,1001JP
11001JP-1,1,1001JP-1
11001UNLABELED,1,1001UNLABELED
11001US,1,1001US
11001US-1,1,1001US-1
110020,1,10020
1100200,1,100200
11002002,1,1002002
11002003,1,1002003
1100201,1,100201
11002012,1,1002012
11002013,1,1002013
1100201D,1,100201D
1100202,1,100202
11002022,1,1002022
11002023,1,1002023
1100202D,1,100202D
1100203,1,100203
11002032,1,1002032
11002033,1,1002033
1100204,1,100204
11002042,1,1002042
11002043,1,1002043
1100205,1,100205
11002052,1,1002052
11002053,1,1002053
1100206,1,100206
11002062,1,1002062
11002063,1,1002063
1100206D,1,100206D
1100207,1,100207
11002072,1,1002072
11002073,1,1002073
1100208,1,100208
11002082,1,1002082
11002083,1,1002083
1100209,1,100209
11002092,1,1002092
11002093,1,1002093
110021,1,10021
1100210,1,100210
11002102,1,1002102
11002103,1,1002103
1100211,1,100211
11002112,1,1002112
11002113,1,1002113
1100212,1,100212
11002122,1,1002122
11002123,1,1002123
1100213,1,100213
11002132,1,1002132
11002133,1,1002133
1100214,1,100214
11002142,1,1002142
11002143,1,1002143
1100215,1,100215
11002152,1,1002152
11002153,1,1002153
1100215D,1,100215D
1100216,1,100216
11002162,1,1002162
11002163,1,1002163
1100217,1,100217
11002172,1,1002172
11002173,1,1002173
1100218,1,100218
11002182,1,1002182
11002183,1,1002183
1100219,1,100219
11002192,1,1002192
11002193,1,1002193
110022,1,10022
1100220,1,100220
11002202,1,1002202
11002203,1,1002203
1100220D,1,100220D
1100221,1,100221
11002212,1,1002212
11002213,1,1002213
1100222,1,100222
11002222,1,1002222
11002223,1,1002223
1100222D,1,100222D
1100223,1,100223
11002232,1,1002232
11002233,1,1002233
1100224,1,100224
11002242,1,1002242
11002243,1,1002243
1100225,1,100225
11002252,1,1002252
11002253,1,1002253
1100225D,1,100225D
1100226,1,100226
1100227,1,100227
1100228,1,100228
1100229,1,100229
11002292,1,1002292
11002293,1,1002293
110023,1,10023
1100230,1,100230
1100231,1,100231
1100232,1,100232
1100235,1,100235
1100236,1,100236
1100237,1,100237
11002372,1,1002372
11002373,1,1002373
1100238,1,100238
11002382,1,1002382
11002383,1,1002383
1100239,1,100239
11002392,1,1002392
11002393,1,1002393
110024,1,10024
1100240,1,100240
11002402,1,1002402
11002403,1,1002403
11002723,1,1002723
11002724,1,1002724
11002725,1,1002725
11002726,1,1002726
11002727,1,1002727
11002728,1,1002728
11002729,1,1002729
11002730,1,1002730
11002731,1,1002731
11002732,1,1002732
11002733,1,1002733
11002UNLABELED,1,1002UNLABELED
11002US,1,1002US
11002US-1,1,1002US-1
1100300,1,100300
11003002,1,1003002
11003003,1,1003003
1100301,1,100301
11003012,1,1003012
11003013,1,1003013
1100301D,1,100301D
1100302,1,100302
11003022,1,1003022
11003023,1,1003023
1100303,1,100303
11003032,1,1003032
11003033,1,1003033
1100304,1,100304
11003042,1,1003042
11003043,1,1003043
1100304D,1,100304D
1100305,1,100305
11003052,1,1003052
11003053,1,1003053
1100305D,1,100305D
1100307,1,100307
1100308,1,100308
1100310,1,100310
1100402,1,100402
11004022,1,1004022
11004023,1,1004023
1100402D,1,100402D
1100403,1,100403
1100403D,1,100403D
1100404,1,100404
1100404D,1,100404D
1100405,1,100405
1100405D,1,100405D
1100406,1,100406
1100406D,1,100406D
1100407,1,100407
1100407D,1,100407D
1100408,1,100408
1100408D,1,100408D
1100409,1,100409
11004092,1,1004092
11004093,1,1004093
1100410,1,100410
11004102,1,1004102
11004103,1,1004103
1100411,1,100411
11004112,1,1004112
11004113,1,1004113
1100412,1,100412
11004122,1,1004122
11004123,1,1004123
1100413,1,100413
1100500,1,100500
11005002,1,1005002
11005003,1,1005003
1100500D,1,100500D
1100501,1,100501
11005012,1,1005012
11005013,1,1005013
1100502,1,100502
11005022,1,1005022
11005023,1,1005023
1100503,1,100503
11005032,1,1005032
11005033,1,1005033
1100503D,1,100503D
1100600,1,100600
1100601,1,100601
1100602,1,100602
1100604,1,100604
11006042,1,1006042
11006043,1,1006043
1100650,1,100650
11006502,1,1006502
11006503,1,1006503
1101000,1,101000
1101001,1,101001
1101002,1,101002
1101003,1,101003
1101004,1,101004
1101005,1,101005
1101006,1,101006
1101007,1,101007
1101008,1,101008
1101009,1,101009
1101010,1,101010
1101011,1,101011
1101012,1,101012
1101013,1,101013
1101014,1,101014
1101020,1,101020
11010202,1,1010202
11010203,1,1010203
1101021,1,101021
11010212,1,1010212
11010213,1,1010213
1101022,1,101022
11010222,1,1010222
11010223,1,1010223
1101023,1,101023
11010232,1,1010232
11010233,1,1010233
1101024,1,101024
11010242,1,1010242
11010243,1,1010243
1101025,1,101025
11010252,1,1010252
11010253,1,1010253
1101026,1,101026
11010262,1,1010262
11010263,1,1010263
1101027,1,101027
11010272,1,1010272
11010273,1,1010273
1101028,1,101028
11010282,1,1010282
11010283,1,1010283
1101029,1,101029
